product_id,product_name,description,brand,color,size,price,material,target_category
P1075,Leather Wallet,Leather Wallet with high quality features for everyday use,SG,White,Full,2233.86,Leather,Accessories
P1076,Sneakers,Sneakers with high quality features for everyday use,Wildcraft,Yellow,M,693.25,Mesh,Footwear
P1077,Power Bank,Power Bank with high quality features for everyday use,Philips,Brown,L,1811.99,Cotton,Electronics
P1078,Sneakers,Sneakers with high quality features for everyday use,Roadster,White,1.5L,761.92,Steel,Footwear
P1079,Running Shoes,Running Shoes with high quality features for everyday use,Sony,Grey,S,3214.01,Mesh,Footwear
P1080,Football,Football with high quality features for everyday use,Philips,Grey,M,1154.86,Cotton,Sports
P1081,Vacuum Cleaner,Vacuum Cleaner with high quality features for everyday use,Roadster,Black,Full,1085.7,Wood,Home Appliances
P1082,Running Shoes,Running Shoes with high quality features for everyday use,boAt,Black,N/A,1643.82,Cotton,Footwear
P1083,Wireless Headphones,Wireless Headphones with high quality features for everyday use,Samsung,White,9,2158.13,Rubber,Electronics
P1084,Watch,Watch with high quality features for everyday use,SG,Black,6mm,2851.11,Plastic,Accessories
P1085,Power Bank,Power Bank with high quality features for everyday use,Van Heusen,White,6mm,2455.63,Cotton,Electronics
P1086,Skipping Rope,Skipping Rope with high quality features for everyday use,Samsung,Green,S,100.0,Cotton,Sports
P1087,Yoga Mat,Yoga Mat with high quality features for everyday use,boAt,Black,S,1402.64,Leather,Sports
P1088,Skipping Rope,Skipping Rope with high quality features for everyday use,Wildcraft,Brown,L,949.59,Wood,Sports
P1089,Watch,Watch with high quality features for everyday use,Van Heusen,White,6mm,2173.95,Rubber,Accessories
P1090,Cricket Bat,Cricket Bat with high quality features for everyday use,boAt,Brown,L,1422.79,Silicon,Sports
P1091,Blender,Blender with high quality features for everyday use,Philips,Brown,9,2329.28,Plastic,Electronics
P1092,Formal Shoes,Formal Shoes with high quality features for everyday use,Wildcraft,Brown,M,1436.42,Silicon,Footwear
P1093,Jeans,Jeans with high quality features for everyday use,Roadster,White,XL,1546.57,Mesh,Clothing
P1094,Sweater,Sweater with high quality features for everyday use,Philips,White,9,3089.89,Mesh,Clothing
P1095,Sneakers,Sneakers with high quality features for everyday use,Philips,Yellow,9,653.97,Plastic,Footwear
P1096,Backpack,Backpack with high quality features for everyday use,SG,Green,9,1085.92,Mesh,Accessories
P1097,Sneakers,Sneakers with high quality features for everyday use,Philips,Brown,L,1271.34,Wood,Footwear
P1098,Leather Wallet,Leather Wallet with high quality features for everyday use,Puma,Black,43inch,3407.94,Plastic,Accessories
P1099,Laptop,Laptop with high quality features for everyday use,Sony,Red,M,1419.54,Leather,Electronics
P1100,Skipping Rope,Skipping Rope with high quality features for everyday use,Sony,Green,L,774.64,Steel,Sports
P1101,Leather Wallet,Leather Wallet with high quality features for everyday use,Wildcraft,Grey,N/A,1057.16,Wood,Accessories
P1102,Vacuum Cleaner,Vacuum Cleaner with high quality features for everyday use,Roadster,White,XL,1762.95,Mesh,Home Appliances
P1103,Formal Shoes,Formal Shoes with high quality features for everyday use,Nike,White,XL,628.13,Steel,Footwear
P1104,Cricket Bat,Cricket Bat with high quality features for everyday use,Philips,Blue,M,1631.73,Mesh,Sports
P1105,Belt,Belt with high quality features for everyday use,boAt,Black,43inch,581.23,Wood,Accessories
P1106,Formal Shirt,Formal Shirt with high quality features for everyday use,SG,Yellow,XL,1766.15,Cotton,Clothing
P1107,Sandals,Sandals with high quality features for everyday use,SG,Blue,S,1060.97,Wood,Footwear
P1108,Sweater,Sweater with high quality features for everyday use,Van Heusen,Yellow,M,293.58,Mesh,Clothing
P1109,LED TV,LED TV with high quality features for everyday use,Samsung,Grey,43inch,2187.89,Steel,Electronics
P1110,Backpack,Backpack with high quality features for everyday use,Van Heusen,Blue,1.5L,1322.71,Steel,Accessories
P1111,Mixer Grinder,Mixer Grinder with high quality features for everyday use,Puma,Blue,1.5L,1053.41,Plastic,Home Appliances
P1112,Formal Shirt,Formal Shirt with high quality features for everyday use,Nike,White,S,1708.7,Rubber,Clothing
P1113,Badminton Racket,Badminton Racket with high quality features for everyday use,Roadster,Red,L,1772.58,Cotton,Sports
P1114,LED TV,LED TV with high quality features for everyday use,Sony,White,Full,2550.33,Plastic,Electronics
P1115,Jeans,Jeans with high quality features for everyday use,Nike,Brown,XL,2052.2,Wood,Clothing
P1116,Jacket,Jacket with high quality features for everyday use,Philips,Brown,43inch,1687.4,Cotton,Clothing
P1117,Badminton Racket,Badminton Racket with high quality features for everyday use,Philips,Yellow,XL,2616.67,Wood,Sports
P1118,Watch,Watch with high quality features for everyday use,Wildcraft,White,S,667.86,Wood,Accessories
P1119,Iron,Iron with high quality features for everyday use,Philips,Yellow,N/A,1487.43,Steel,Home Appliances
P1120,Blender,Blender with high quality features for everyday use,Samsung,Black,N/A,1738.85,Leather,Electronics
P1121,Toaster,Toaster with high quality features for everyday use,Van Heusen,Yellow,Full,1426.87,Plastic,Home Appliances
P1122,Sandals,Sandals with high quality features for everyday use,boAt,Black,XL,2886.49,Steel,Footwear
P1123,Leather Wallet,Leather Wallet with high quality features for everyday use,Philips,Yellow,M,2170.47,Leather,Accessories
P1124,Sweater,Sweater with high quality features for everyday use,Sony,Green,1.5L,2486.56,Steel,Clothing
P1125,Vacuum Cleaner,Vacuum Cleaner with high quality features for everyday use,Samsung,Yellow,1.5L,1862.28,Silicon,Home Appliances
P1126,Laptop,Laptop with high quality features for everyday use,Van Heusen,White,43inch,1368.22,Mesh,Electronics
P1127,Running Shoes,Running Shoes with high quality features for everyday use,Wildcraft,Black,9,461.69,Plastic,Footwear
P1128,Yoga Mat,Yoga Mat with high quality features for everyday use,Van Heusen,Brown,L,1737.22,Mesh,Sports
P1129,Backpack,Backpack with high quality features for everyday use,Nike,Black,9,1814.83,Cotton,Accessories
P1130,Watch,Watch with high quality features for everyday use,Philips,Brown,43inch,2686.61,Silicon,Accessories
P1131,Power Bank,Power Bank with high quality features for everyday use,Samsung,White,43inch,1079.13,Rubber,Electronics
P1132,Laptop,Laptop with high quality features for everyday use,boAt,Grey,6mm,1553.14,Plastic,Electronics
P1133,Formal Shoes,Formal Shoes with high quality features for everyday use,Van Heusen,Red,N/A,1506.69,Plastic,Footwear
P1134,Iron,Iron with high quality features for everyday use,Puma,Brown,1.5L,133.81,Rubber,Home Appliances
P1135,Watch,Watch with high quality features for everyday use,Van Heusen,Grey,9,2182.47,Steel,Accessories
P1136,Jacket,Jacket with high quality features for everyday use,Puma,Red,N/A,655.76,Rubber,Clothing
P1137,Jeans,Jeans with high quality features for everyday use,Philips,Yellow,1.5L,1183.54,Plastic,Clothing
P1138,Sneakers,Sneakers with high quality features for everyday use,Sony,Grey,6mm,2696.17,Rubber,Footwear
P1139,Blender,Blender with high quality features for everyday use,Puma,Black,M,100.0,Cotton,Electronics
P1140,Football,Football with high quality features for everyday use,Nike,White,XL,910.32,Silicon,Sports
P1141,Belt,Belt with high quality features for everyday use,Puma,Yellow,M,1988.38,Plastic,Accessories
P1142,Sweater,Sweater with high quality features for everyday use,Samsung,Green,43inch,874.64,Steel,Clothing
P1143,Wireless Headphones,Wireless Headphones with high quality features for everyday use,Philips,Green,M,2330.8,Steel,Electronics
P1144,Running Shoes,Running Shoes with high quality features for everyday use,Van Heusen,Brown,1.5L,1033.03,Leather,Footwear
P1145,Wireless Headphones,Wireless Headphones with high quality features for everyday use,boAt,Green,1.5L,2090.48,Plastic,Electronics
P1146,Formal Shirt,Formal Shirt with high quality features for everyday use,Van Heusen,White,Full,624.66,Rubber,Clothing
P1147,Formal Shoes,Formal Shoes with high quality features for everyday use,Puma,Red,M,3778.17,Plastic,Footwear
P1148,Yoga Mat,Yoga Mat with high quality features for everyday use,Roadster,Yellow,Full,2764.5,Mesh,Sports
P1149,Skipping Rope,Skipping Rope with high quality features for everyday use,Van Heusen,Black,M,560.93,Mesh,Sports
P1150,Sandals,Sandals with high quality features for everyday use,Philips,Brown,1.5L,2698.92,Mesh,Footwear
P1151,Leather Wallet,Leather Wallet with high quality features for everyday use,Nike,Brown,S,598.63,Plastic,Accessories
P1152,LED TV,LED TV with high quality features for everyday use,Sony,Brown,L,100.0,Mesh,Electronics
P1153,Football,Football with high quality features for everyday use,Sony,Green,M,393.15,Leather,Sports
P1154,Blender,Blender with high quality features for everyday use,Wildcraft,Green,9,2338.13,Steel,Electronics
P1155,Badminton Racket,Badminton Racket with high quality features for everyday use,Samsung,Blue,43inch,1917.13,Mesh,Sports
P1156,Skipping Rope,Skipping Rope with high quality features for everyday use,Samsung,Blue,6mm,2278.96,Cotton,Sports
P1157,Sneakers,Sneakers with high quality features for everyday use,Sony,Green,6mm,2239.8,Steel,Footwear
P1158,LED TV,LED TV with high quality features for everyday use,Wildcraft,Red,L,1390.33,Wood,Electronics
P1159,Running Shoes,Running Shoes with high quality features for everyday use,Samsung,Brown,N/A,1918.57,Steel,Footwear
P1160,Vacuum Cleaner,Vacuum Cleaner with high quality features for everyday use,Puma,Green,XL,3283.38,Wood,Home Appliances
P1161,Smart Watch,Smart Watch with high quality features for everyday use,Samsung,Grey,S,1154.94,Cotton,Electronics
P1162,Power Bank,Power Bank with high quality features for everyday use,boAt,Green,43inch,503.96,Leather,Electronics
P1163,Sandals,Sandals with high quality features for everyday use,Philips,Brown,Full,1280.21,Plastic,Footwear
P1164,Toaster,Toaster with high quality features for everyday use,Van Heusen,Red,L,2316.97,Wood,Home Appliances
P1165,Mixer Grinder,Mixer Grinder with high quality features for everyday use,Sony,Green,S,1215.07,Silicon,Home Appliances
P1166,Belt,Belt with high quality features for everyday use,SG,Blue,XL,1034.48,Mesh,Accessories
P1167,Skipping Rope,Skipping Rope with high quality features for everyday use,Philips,Red,N/A,3438.25,Silicon,Sports
P1168,Sandals,Sandals with high quality features for everyday use,Wildcraft,Green,N/A,2090.65,Mesh,Footwear
P1169,Sweater,Sweater with high quality features for everyday use,Van Heusen,Brown,XL,3088.54,Wood,Clothing
P1170,Leather Wallet,Leather Wallet with high quality features for everyday use,Samsung,Black,M,1720.17,Leather,Accessories
P1171,Iron,Iron with high quality features for everyday use,Wildcraft,Black,L,3218.02,Steel,Home Appliances
P1172,Sweater,Sweater with high quality features for everyday use,Nike,White,XL,100.0,Cotton,Clothing
P1173,Vacuum Cleaner,Vacuum Cleaner with high quality features for everyday use,Samsung,Green,Full,1605.69,Steel,Home Appliances
P1174,Jeans,Jeans with high quality features for everyday use,Puma,Red,6mm,2089.12,Cotton,Clothing
P1175,Sneakers,Sneakers with high quality features for everyday use,SG,Blue,43inch,1094.29,Plastic,Footwear
P1176,Badminton Racket,Badminton Racket with high quality features for everyday use,Samsung,Red,1.5L,1208.19,Cotton,Sports
P1177,Football,Football with high quality features for everyday use,Puma,Blue,9,1861.24,Rubber,Sports
P1178,Sweater,Sweater with high quality features for everyday use,Samsung,Blue,43inch,754.61,Cotton,Clothing
P1179,Formal Shoes,Formal Shoes with high quality features for everyday use,SG,Yellow,43inch,1714.62,Rubber,Footwear
P1180,Backpack,Backpack with high quality features for everyday use,Van Heusen,Brown,Full,1324.04,Steel,Accessories
P1181,Badminton Racket,Badminton Racket with high quality features for everyday use,Philips,Brown,Full,100.82,Wood,Sports
P1182,Laptop,Laptop with high quality features for everyday use,Samsung,Blue,XL,1416.1,Steel,Electronics
P1183,Running Shoes,Running Shoes with high quality features for everyday use,Roadster,Black,9,2503.88,Cotton,Footwear
P1184,Sweater,Sweater with high quality features for everyday use,Sony,Grey,M,1600.67,Leather,Clothing
P1185,Formal Shoes,Formal Shoes with high quality features for everyday use,Sony,Black,43inch,100.0,Mesh,Footwear
P1186,Sneakers,Sneakers with high quality features for everyday use,Wildcraft,Red,43inch,908.33,Leather,Footwear
P1187,Mixer Grinder,Mixer Grinder with high quality features for everyday use,Philips,Blue,S,1226.36,Plastic,Home Appliances
P1188,Running Shoes,Running Shoes with high quality features for everyday use,boAt,Green,N/A,2160.92,Silicon,Footwear
P1189,Sweater,Sweater with high quality features for everyday use,Samsung,Brown,XL,745.08,Cotton,Clothing
P1190,Iron,Iron with high quality features for everyday use,Wildcraft,Green,1.5L,2090.63,Wood,Home Appliances
P1191,Backpack,Backpack with high quality features for everyday use,Van Heusen,White,N/A,2168.04,Cotton,Accessories
P1192,Mixer Grinder,Mixer Grinder with high quality features for everyday use,Sony,Red,S,808.24,Cotton,Home Appliances
P1193,Iron,Iron with high quality features for everyday use,Van Heusen,Red,M,1785.87,Steel,Home Appliances
P1194,Smart Watch,Smart Watch with high quality features for everyday use,Puma,Red,43inch,1775.7,Plastic,Electronics
P1195,Watch,Watch with high quality features for everyday use,Wildcraft,Black,M,2769.26,Rubber,Accessories
P1196,Running Shoes,Running Shoes with high quality features for everyday use,boAt,Black,6mm,1115.02,Mesh,Footwear
P1197,Football,Football with high quality features for everyday use,Samsung,Green,9,722.75,Rubber,Sports
P1198,LED TV,LED TV with high quality features for everyday use,Sony,Blue,9,100.0,Rubber,Electronics
P1199,Yoga Mat,Yoga Mat with high quality features for everyday use,Van Heusen,Green,43inch,1837.41,Rubber,Sports
P1200,Formal Shoes,Formal Shoes with high quality features for everyday use,SG,Green,N/A,2490.57,Silicon,Footwear
P1201,Vacuum Cleaner,Vacuum Cleaner with high quality features for everyday use,Nike,Yellow,N/A,1412.83,Plastic,Home Appliances
P1202,Yoga Mat,Yoga Mat with high quality features for everyday use,Wildcraft,Brown,L,100.0,Silicon,Sports
P1203,Cricket Bat,Cricket Bat with high quality features for everyday use,Puma,Yellow,S,100.0,Leather,Sports
P1204,Wireless Headphones,Wireless Headphones with high quality features for everyday use,Puma,White,S,2730.73,Silicon,Electronics
P1205,Iron,Iron with high quality features for everyday use,Van Heusen,Yellow,S,2181.08,Mesh,Home Appliances
P1206,Iron,Iron with high quality features for everyday use,Samsung,Red,S,1519.49,Mesh,Home Appliances
P1207,Smart Watch,Smart Watch with high quality features for everyday use,Roadster,White,XL,1733.95,Steel,Electronics
P1208,Cotton T-Shirt,Cotton T-Shirt with high quality features for everyday use,SG,White,XL,1887.28,Cotton,Clothing
P1209,Belt,Belt with high quality features for everyday use,Samsung,Blue,43inch,4205.24,Rubber,Accessories
P1210,Watch,Watch with high quality features for everyday use,Puma,Green,Full,3292.41,Silicon,Accessories
P1211,Backpack,Backpack with high quality features for everyday use,Philips,Green,43inch,844.66,Steel,Accessories
P1212,Sandals,Sandals with high quality features for everyday use,Nike,Yellow,6mm,100.0,Cotton,Footwear
P1213,Formal Shoes,Formal Shoes with high quality features for everyday use,Roadster,Black,L,2431.78,Mesh,Footwear
P1214,Formal Shoes,Formal Shoes with high quality features for everyday use,Samsung,White,43inch,2167.37,Plastic,Footwear
P1215,Laptop,Laptop with high quality features for everyday use,Van Heusen,Green,XL,382.25,Leather,Electronics
P1216,LED TV,LED TV with high quality features for everyday use,Wildcraft,Blue,Full,1182.65,Leather,Electronics
P1217,Skipping Rope,Skipping Rope with high quality features for everyday use,SG,Green,9,1450.91,Wood,Sports
P1218,Jeans,Jeans with high quality features for everyday use,Van Heusen,Blue,6mm,1960.09,Cotton,Clothing
P1219,Vacuum Cleaner,Vacuum Cleaner with high quality features for everyday use,Roadster,Yellow,S,100.0,Plastic,Home Appliances
P1220,Cotton T-Shirt,Cotton T-Shirt with high quality features for everyday use,Sony,Red,Full,2473.92,Rubber,Clothing
P1221,LED TV,LED TV with high quality features for everyday use,Samsung,Black,1.5L,2316.46,Cotton,Electronics
P1222,Laptop,Laptop with high quality features for everyday use,Roadster,Blue,1.5L,351.26,Wood,Electronics
P1223,Sneakers,Sneakers with high quality features for everyday use,Samsung,Blue,Full,886.41,Cotton,Footwear
P1224,Mixer Grinder,Mixer Grinder with high quality features for everyday use,Van Heusen,Green,XL,2775.47,Steel,Home Appliances
P1225,Running Shoes,Running Shoes with high quality features for everyday use,Philips,Yellow,Full,1846.44,Rubber,Footwear
P1226,Laptop,Laptop with high quality features for everyday use,Philips,Yellow,S,1712.11,Plastic,Electronics
P1227,Toaster,Toaster with high quality features for everyday use,Van Heusen,Red,9,1101.13,Cotton,Home Appliances
P1228,Jeans,Jeans with high quality features for everyday use,Puma,Grey,9,1083.08,Mesh,Clothing
P1229,Laptop,Laptop with high quality features for everyday use,Roadster,Blue,L,100.0,Cotton,Electronics
P1230,Jeans,Jeans with high quality features for everyday use,Wildcraft,Red,43inch,637.28,Plastic,Clothing
P1231,Jacket,Jacket with high quality features for everyday use,Roadster,Green,43inch,1266.25,Wood,Clothing
P1232,Wireless Headphones,Wireless Headphones with high quality features for everyday use,Samsung,Blue,XL,886.32,Leather,Electronics
P1233,Jeans,Jeans with high quality features for everyday use,Roadster,Red,XL,1861.75,Leather,Clothing
P1234,Formal Shoes,Formal Shoes with high quality features for everyday use,Roadster,Grey,6mm,2423.99,Cotton,Footwear
P1235,Backpack,Backpack with high quality features for everyday use,SG,Grey,XL,2998.17,Plastic,Accessories
P1236,Sneakers,Sneakers with high quality features for everyday use,Puma,Blue,43inch,881.24,Cotton,Footwear
P1237,Sweater,Sweater with high quality features for everyday use,Puma,Green,43inch,2471.17,Leather,Clothing
P1238,Mixer Grinder,Mixer Grinder with high quality features for everyday use,Philips,Green,9,3032.77,Rubber,Home Appliances
P1239,Wireless Headphones,Wireless Headphones with high quality features for everyday use,Samsung,Black,1.5L,1100.79,Wood,Electronics
P1240,Football,Football with high quality features for everyday use,Philips,Red,1.5L,1261.9,Leather,Sports
P1241,Cotton T-Shirt,Cotton T-Shirt with high quality features for everyday use,Philips,Blue,S,2441.84,Leather,Clothing
P1242,Vacuum Cleaner,Vacuum Cleaner with high quality features for everyday use,Nike,Blue,6mm,1782.06,Silicon,Home Appliances
P1243,Leather Wallet,Leather Wallet with high quality features for everyday use,Nike,Yellow,N/A,2653.3,Steel,Accessories
P1244,Toaster,Toaster with high quality features for everyday use,Sony,Brown,XL,1663.81,Plastic,Home Appliances
P1245,Blender,Blender with high quality features for everyday use,boAt,Green,43inch,230.66,Wood,Electronics
P1246,Cricket Bat,Cricket Bat with high quality features for everyday use,boAt,Red,43inch,2655.28,Mesh,Sports
P1247,Formal Shoes,Formal Shoes with high quality features for everyday use,Nike,Black,43inch,1191.92,Mesh,Footwear
P1248,Smart Watch,Smart Watch with high quality features for everyday use,boAt,Green,L,1700.05,Mesh,Electronics
P1249,Jeans,Jeans with high quality features for everyday use,Philips,Blue,N/A,100.0,Cotton,Clothing
P1250,Yoga Mat,Yoga Mat with high quality features for everyday use,Samsung,Black,L,1248.25,Leather,Sports
P1251,Running Shoes,Running Shoes with high quality features for everyday use,Sony,White,43inch,861.15,Mesh,Footwear
P1252,Toaster,Toaster with high quality features for everyday use,Sony,White,M,1065.92,Steel,Home Appliances
P1253,Skipping Rope,Skipping Rope with high quality features for everyday use,Philips,Black,9,113.25,Wood,Sports
P1254,Cotton T-Shirt,Cotton T-Shirt with high quality features for everyday use,Samsung,Brown,S,1740.68,Mesh,Clothing
P1255,Jeans,Jeans with high quality features for everyday use,Samsung,Blue,M,689.7,Plastic,Clothing
P1256,Leather Wallet,Leather Wallet with high quality features for everyday use,Sony,White,1.5L,2164.6,Steel,Accessories
P1257,Cricket Bat,Cricket Bat with high quality features for everyday use,Van Heusen,Green,S,2370.82,Silicon,Sports
P1258,Backpack,Backpack with high quality features for everyday use,Samsung,Red,Full,1432.74,Cotton,Accessories
P1259,Cotton T-Shirt,Cotton T-Shirt with high quality features for everyday use,Puma,Blue,43inch,100.0,Plastic,Clothing
P1260,Football,Football with high quality features for everyday use,Wildcraft,Yellow,S,1517.56,Silicon,Sports
P1261,Iron,Iron with high quality features for everyday use,Sony,Blue,1.5L,981.55,Mesh,Home Appliances
P1262,Belt,Belt with high quality features for everyday use,Sony,Yellow,M,1847.31,Leather,Accessories
P1263,Jeans,Jeans with high quality features for everyday use,Philips,Black,1.5L,1062.23,Cotton,Clothing
P1264,Iron,Iron with high quality features for everyday use,Nike,Grey,M,1615.91,Mesh,Home Appliances
